Question,Answer,Category,Difficulty
Difference between frontend and backend? (Q25),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the use of CSS? (Q26),CSS is used to style and layout web pages.,General,Easy
What is phishing? (Q27),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between a compiler and an interpreter? (Q28),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is JavaScript used for? (Q29),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is machine learning? (Q30),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is two-factor authentication? (Q31),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is overfitting in machine learning? (Q32),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a foreign key? (Q33),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is the use of CSS? (Q34),CSS is used to style and layout web pages.,General,Easy
Difference between supervised and unsupervised learning? (Q35),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is the difference between SQL and NoSQL? (Q36),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the difference between SQL and NoSQL? (Q37),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is artificial intelligence? (Q38),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a variable in programming? (Q39),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain the concept of encryption. (Q40),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the difference between SQL and NoSQL? (Q41),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is overfitting in machine learning? (Q42),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is machine learning? (Q43),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Explain normalization in databases. (Q44),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Define a firewall. (Q45),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is overfitting in machine learning? (Q46),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a web framework? (Q47),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the difference between SQL and NoSQL? (Q48),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a web framework? (Q49),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the difference between SQL and NoSQL? (Q50),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is object-oriented programming? (Q51),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is SQL used for? (Q52),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a foreign key? (Q53),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is HTML? (Q54),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between a compiler and an interpreter? (Q55),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is machine learning? (Q56),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Explain normalization in databases. (Q57),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is two-factor authentication? (Q58),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the use of CSS? (Q59),CSS is used to style and layout web pages.,General,Easy
What is a brute force attack? (Q60),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is machine learning? (Q61),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Define a firewall. (Q62),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is object-oriented programming? (Q63),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the use of CSS? (Q64),CSS is used to style and layout web pages.,General,Easy
What is object-oriented programming? (Q65),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Define a firewall. (Q66),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a brute force attack? (Q67),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain normalization in databases. (Q68),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is object-oriented programming? (Q69),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a primary key in a database? (Q70),A primary key uniquely identifies each record in a table.,General,Easy
What is a variable in programming? (Q71),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a neural network? (Q72),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the difference between a compiler and an interpreter? (Q73),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is SQL used for? (Q74),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is overfitting in machine learning? (Q75),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between supervised and unsupervised learning? (Q76),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Define a firewall. (Q77),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between supervised and unsupervised learning? (Q78),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is machine learning? (Q79),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is HTML? (Q80),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between SQL and NoSQL? (Q81),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the use of CSS? (Q82),CSS is used to style and layout web pages.,General,Easy
Explain the concept of encryption. (Q83),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is two-factor authentication? (Q84),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is JavaScript used for? (Q85),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is a neural network? (Q86),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of encryption. (Q87),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the difference between SQL and NoSQL? (Q88),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a primary key in a database? (Q89),A primary key uniquely identifies each record in a table.,General,Easy
What is overfitting in machine learning? (Q90),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a web framework? (Q91),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain the concept of recursion. (Q92),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is object-oriented programming? (Q93),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a web framework? (Q94),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is object-oriented programming? (Q95),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is SQL used for? (Q96),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between a compiler and an interpreter? (Q97),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is machine learning? (Q98),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is the difference between SQL and NoSQL? (Q99),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a foreign key? (Q100),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a neural network? (Q101),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Define a firewall. (Q102),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is HTML? (Q103),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is HTML? (Q104),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is overfitting in machine learning? (Q105),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between frontend and backend? (Q106),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the difference between a compiler and an interpreter? (Q107),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is phishing? (Q108),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is machine learning? (Q109),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is JavaScript used for? (Q110),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the use of CSS? (Q111),CSS is used to style and layout web pages.,General,Easy
What is a web framework? (Q112),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a variable in programming? (Q113),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is the difference between a compiler and an interpreter? (Q114),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is machine learning? (Q115),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a web framework? (Q116),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between frontend and backend? (Q117),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is a neural network? (Q118),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is phishing? (Q119),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is overfitting in machine learning? (Q120),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the difference between a compiler and an interpreter? (Q121),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a web framework? (Q122),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain the concept of encryption. (Q123),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the difference between SQL and NoSQL? (Q124),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Explain the concept of recursion. (Q125),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a variable in programming? (Q126),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain polymorphism in OOP. (Q127),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is machine learning? (Q128),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a foreign key? (Q129),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is the use of CSS? (Q130),CSS is used to style and layout web pages.,General,Easy
What is a variable in programming? (Q131),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain the concept of encryption. (Q132),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Difference between supervised and unsupervised learning? (Q133),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Define a firewall. (Q134),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is HTML? (Q135),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is SQL used for? (Q136),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a foreign key? (Q137),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
Explain normalization in databases. (Q138),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Difference between supervised and unsupervised learning? (Q139),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain the concept of encryption. (Q140),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Explain the concept of encryption. (Q141),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is overfitting in machine learning? (Q142),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a brute force attack? (Q143),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain the concept of recursion. (Q144),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a brute force attack? (Q145),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is overfitting in machine learning? (Q146),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is two-factor authentication? (Q147),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a brute force attack? (Q148),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Difference between frontend and backend? (Q149),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is phishing? (Q150),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is artificial intelligence? (Q151),AI is the simulation of human intelligence processes by machines.,General,Easy
What is SQL used for? (Q152),SQL is used for managing and manipulating relational databases.,Databases,Easy
Difference between frontend and backend? (Q153),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is machine learning? (Q154),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a brute force attack? (Q155),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a brute force attack? (Q156),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Difference between supervised and unsupervised learning? (Q157),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain polymorphism in OOP. (Q158),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is machine learning? (Q159),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Difference between supervised and unsupervised learning? (Q160),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is object-oriented programming? (Q161),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is two-factor authentication? (Q162),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain normalization in databases. (Q163),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a web framework? (Q164),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between supervised and unsupervised learning? (Q165),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is the difference between a compiler and an interpreter? (Q166),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Explain normalization in databases. (Q167),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Difference between frontend and backend? (Q168),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Define a firewall. (Q169),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q170),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is two-factor authentication? (Q171),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the difference between a compiler and an interpreter? (Q172),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a neural network? (Q173),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a web framework? (Q174),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is overfitting in machine learning? (Q175),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between supervised and unsupervised learning? (Q176),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is object-oriented programming? (Q177),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is two-factor authentication? (Q178),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a web framework? (Q179),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a brute force attack? (Q180),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a foreign key? (Q181),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is overfitting in machine learning? (Q182),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a primary key in a database? (Q183),A primary key uniquely identifies each record in a table.,General,Easy
Difference between supervised and unsupervised learning? (Q184),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is artificial intelligence? (Q185),AI is the simulation of human intelligence processes by machines.,General,Easy
What is overfitting in machine learning? (Q186),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is SQL used for? (Q187),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is machine learning? (Q188),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is the use of CSS? (Q189),CSS is used to style and layout web pages.,General,Easy
What is phishing? (Q190),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between SQL and NoSQL? (Q191),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Explain normalization in databases. (Q192),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is artificial intelligence? (Q193),AI is the simulation of human intelligence processes by machines.,General,Easy
What is artificial intelligence? (Q194),AI is the simulation of human intelligence processes by machines.,General,Easy
What is phishing? (Q195),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is two-factor authentication? (Q196),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Difference between frontend and backend? (Q197),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Explain normalization in databases. (Q198),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a web framework? (Q199),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain polymorphism in OOP. (Q200),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Difference between frontend and backend? (Q201),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is HTML? (Q202),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is object-oriented programming? (Q203),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is object-oriented programming? (Q204),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Explain polymorphism in OOP. (Q205),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is phishing? (Q206),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a variable in programming? (Q207),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is the use of CSS? (Q208),CSS is used to style and layout web pages.,General,Easy
What is a variable in programming? (Q209),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is artificial intelligence? (Q210),AI is the simulation of human intelligence processes by machines.,General,Easy
Difference between supervised and unsupervised learning? (Q211),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is overfitting in machine learning? (Q212),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the difference between SQL and NoSQL? (Q213),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the difference between a compiler and an interpreter? (Q214),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is artificial intelligence? (Q215),AI is the simulation of human intelligence processes by machines.,General,Easy
What is artificial intelligence? (Q216),AI is the simulation of human intelligence processes by machines.,General,Easy
Explain the concept of recursion. (Q217),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is machine learning? (Q218),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is HTML? (Q219),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Difference between supervised and unsupervised learning? (Q220),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a variable in programming? (Q221),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a brute force attack? (Q222),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is the use of CSS? (Q223),CSS is used to style and layout web pages.,General,Easy
Define a firewall. (Q224),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is the difference between a compiler and an interpreter? (Q225),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Difference between supervised and unsupervised learning? (Q226),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is two-factor authentication? (Q227),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is HTML? (Q228),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What are data types in programming? (Q229),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is overfitting in machine learning? (Q230),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a brute force attack? (Q231),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is phishing? (Q232),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain the concept of encryption. (Q233),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Difference between frontend and backend? (Q234),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is artificial intelligence? (Q235),AI is the simulation of human intelligence processes by machines.,General,Easy
Explain polymorphism in OOP. (Q236),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is overfitting in machine learning? (Q237),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between frontend and backend? (Q238),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is SQL used for? (Q239),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the use of CSS? (Q240),CSS is used to style and layout web pages.,General,Easy
What is HTML? (Q241),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain normalization in databases. (Q242),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is the difference between SQL and NoSQL? (Q243),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is SQL used for? (Q244),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a variable in programming? (Q245),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is object-oriented programming? (Q246),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is HTML? (Q247),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is overfitting in machine learning? (Q248),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Explain the concept of recursion. (Q249),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of encryption. (Q250),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What are data types in programming? (Q251),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Difference between frontend and backend? (Q252),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is JavaScript used for? (Q253),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What are data types in programming? (Q254),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Define a firewall. (Q255),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain normalization in databases. (Q256),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is the difference between a compiler and an interpreter? (Q257),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is JavaScript used for? (Q258),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is HTML? (Q259),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a brute force attack? (Q260),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is object-oriented programming? (Q261),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the difference between SQL and NoSQL? (Q262),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is machine learning? (Q263),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Difference between frontend and backend? (Q264),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Difference between supervised and unsupervised learning? (Q265),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is machine learning? (Q266),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is overfitting in machine learning? (Q267),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a neural network? (Q268),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a web framework? (Q269),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is overfitting in machine learning? (Q270),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is artificial intelligence? (Q271),AI is the simulation of human intelligence processes by machines.,General,Easy
What is artificial intelligence? (Q272),AI is the simulation of human intelligence processes by machines.,General,Easy
What is overfitting in machine learning? (Q273),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the difference between SQL and NoSQL? (Q274),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a neural network? (Q275),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a variable in programming? (Q276),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is artificial intelligence? (Q277),AI is the simulation of human intelligence processes by machines.,General,Easy
What is machine learning? (Q278),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Difference between frontend and backend? (Q279),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Difference between supervised and unsupervised learning? (Q280),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain the concept of encryption. (Q281),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the difference between SQL and NoSQL? (Q282),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is two-factor authentication? (Q283),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is machine learning? (Q284),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is two-factor authentication? (Q285),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a brute force attack? (Q286),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is HTML? (Q287),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
